Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Information / Traffic Crash / Personal Injuries,1001 E. Midway Pl.,10/1/17 5:50 AM,10/1/17 5:50 AM,Two vehicles involved in a traffic crash / Three individuals transported to hospitals by CFD EMS / CPD case JA453693,CPD,17-00827
Damage to Property,915 E. 60th St. (Logan Center),10/2/17 9:29 AM,9/30/17 to 10/1/17 11:00 PM to 7:30 PM,Podium in room 201 was damaged / Cause unknown at this time,Open,17-00828
Lost Property,5758 S. Maryland (DCAM),10/2/17 10:03 AM,9/11/17 to 9/22/17 8:00 AM to 8:00 AM,Staff member reports losing  a set of three UC Medicine issued Medco keys on a key ring,Closed,17-00829
Sexual Assault / Fondling,1414 E. 59th St. (I-House),10/2/17 10:17 AM,Unknown date and time,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall during academic year 2016-2017 / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-027
Information / Burglary,52nd St. between Cottage Grove & Drexel,10/2/17 10:05 AM,10/2/17 10:05 AM,Resident of off campus apartment arrived at home and found front door of apartment forced open / Unknown suspects fled via rear door after taking various items / CPD case JA454997,CPD,17-00830
Information,6045 S. Kenwood,10/2/17 12:10 PM,9/25/17 12:00 PM,Report of suspicious letter received by staff member,Closed,17-00831
Theft,1116 E. 59th St. (Harper Library),10/2/17 1:19 PM,10/1/17 8:00 PM to 8:05 PM,"Unattended, unsecured backpack taken from room 145 / The backpack was later located intact / Case unfounded / No theft occurred",Unfounded,17-00832
Theft,5530 S. Ellis (Ratner A.C.),10/3/17 9:16 AM,10/1/17 3:45 PM to 5:00 PM,"Wallet taken from unattended, unsecured bag left near the swimming pool / Subsequent to investigation, suspect positively identified through video taking property / Wallet recovered, victim declined to prosecute",Ex. Cleared,17-00833
Harassment by Electronic Means,5700 S. Maryland (CCD),10/3/17 2:06 PM,10/3/17 12:00 PM to 1:00 PM,Individual received harassing phone call,Open,17-00834
Theft,950 E. 61st St. (Woodlawn S.S.C. Bike Rack),10/3/17 5:41 PM,10/3/17 1:00 PM to 5:00 PM,Secured bicycle taken from bike rack,Open,17-00835
Theft,5530 S. Ellis (Ratner A.C. Bike Rack),10/4/17 12:17 AM,10/3/17 2:30 PM to 11:30 PM,Secured bicycle taken from bike rack,Open,17-00836
Theft,5721 S. Maryland (Comer Hospital),10/4/17 10:19 AM,10/4/17 9:50 AM,Suspect took victim's unattended cell phone from charging station in lobby / Phone recovered / Victim declined prosecution,Ex. Cleared,17-00837
Lost Property,1100 E. 57th St. (Regenstein Library),10/4/17 11:52 AM,9/30/17 10:20 PM,Individual reported losing headphones in library,Closed,17-00838
Assault,5700 S. Maryland (CCD),10/4/17 5:16 PM,10/4/17 5:00 PM,Individual attempted to strike a UC Medicine staff member / Subject arrested by UCPD and charged with assault,Arrest,17-00839
Liquor Law Violation,1010 E. 59th St. (Quadrangle),10/4/17 11:07 PM,10/4/17 11:07 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00840
Medical Call / Sick Person,1414 E. 59th St. (I-House),10/4/17 11:58 PM,10/4/17 11:58 PM,Sick person transported to ER by CFD EMS for evaluation and treatment,Closed,17-00841
Information,850 E. 58th St. (American School Bldg.),10/5/17 9:30 AM,10/4/17 to 10/5/17 9:55 AM to 7:40 AM,Information relating to telephone messages,Closed,17-00842
Information / Robbery,62nd & Ellis (Public Way),10/5/17 12:32 PM,10/4/17 6:20 PM,"Delayed report / Two unknown suspects used force to take iPhone, wallet, and headphones from a victim walking on the sidewalk off campus / Victim reported no injuries / Referred to CPD",CPD,17-00843
Theft,970 E. 58th St. (Bookstore),10/5/17 12:43 PM,10/5/17 12:40 PM,Subject was seen taking items of clothing from the store without paying / Subject arrested by responding UCPD officers,Arrest,17-00844
Information,850 E. 61st St. (UCPD HQ),10/5/17 10:00 AM,10/5/17 10:00 AM,Malfunction of ignition switch on UC owned Segway was reported,Closed,17-00845
Mental Health Transport,5555 S. Woodlawn (Student Counseling),10/5/17 3:51 PM,10/5/17 3:51 PM,Individual was transported to ER for evaluation and treatment,Closed,17-00846
Found Property,850 E. 61st St. (UCPD HQ),10/6/17 12:10 PM,10/5/17 6:00 PM,First Transit supervisor turned over a set of keys found on a UC Shuttle Bus / Keys returned to owner,Closed,17-00847
Void,Void,Void,Void,Number generated in error,Void,17-00848
Theft,1155 E. 60th St. (Harris School),10/6/17 6:19 PM,10/5/17 4:30 PM to 9:00 PM,"Unattended, unsecured backpack left in student lounge was taken by an unknown individual",Open,17-00849
