Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Assist Other Agency / Shots Fired,5130 S. Lake Park,10/18/16 5:00 AM,10/18/16 4:50 AM,UCPD officers responded to a call of shots fired and detained four suspects and recovered two handguns that had been discarded / Suspects and weapons turned over to CPD / CPD case HZ478764,CPD,16-00910
Information / Aggravated Battery,1130 E. 46th St.,10/18/16 7:30 PM,10/18/16 7:25 PM,Victim driving near 46th & Greenwood suffered a gunshot wound to the head when an unknown person fired shots from the passenger's side of a passing vehicle / Victim drove himself to Mitchell ER / CPD case HZ479837,CPD,16-00911
Lost Property,850 E. 61st St. (UCPD),10/19/16 8:53 AM,10/11/16 to 10/14/16 6:30 PM to 6:00 AM,Staff member reports losing UCID at unknown location,Closed,16-00912
Theft from Motor Vehicle,5850 S. Dorchester (Public Way),10/19/16 10:59 AM,10/17/16 to 10/18/16 11:00 PM to 7:30 PM,Tail light taken from vehicle parked on the street,Open,16-00913
Lost Property,1020 E. 58th St. (Kent),10/19/16 3:41 PM,10/19/16 11:20 AM to 11:50 AM,Individual reports lost laptop computer in the building,Closed,16-00914
Found Property,5700 S. Ellis (Public Way),10/19/16 2:52 PM,10/19/16 2:45 PM,Individual found a purse in the street / Turned over to UCPD for safekeeping,Closed,16-00915
Information / Burglary,Ellis between 54th & 55th,10/19/16 6:56 PM,10/19/16 4:00 PM to 6:00 PM,Unknown person gained entry to off-campus private apartment and took property / CPD case,CPD,16-00916
Criminal Damage to Vehicle,1101 E. 56th St. (Public Way),10/19/16 11:51 PM,10/19/16 11:40 PM,Unknown person broke the side view mirror of car parked at the curb,Open,16-00917
Information / Burglary,Woodlawn between 53rd & 54th,10/20/16 10:47 AM,10/19/16 10:00 AM to 6:00 PM,"Unknown person(s) entered off-campus private residence via an unsecured rear window and took keys, cash, and headphones / CPD case",CPD,16-00918
Theft,6022 S. Drexel (Midway RH),10/20/16 7:48 PM,10/18/16 12:00 PM to 8:00 PM,UPS parcels were taken from building lobby by unknown person,Open,16-00919
